username,tweetcreatedat,text
Raeun_park,2022-10-05 23:53:53+00:00,"@anchszy hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
moonspti,2022-10-05 23:53:51+00:00,"@mintamaapya gapapa, aku 2001 belum kuliah. kalo nanti kuliah aku juga yg lebih tua dari yg lain. semangat ya, fokus aja sm kuliahmu, jgn dengerin yg cuma bisa ngmng doang xixixi"
elmooobeei,2022-10-05 23:53:51+00:00,@sbmptnfess Kuliah dimanapun pas ketemu masa stress mah ya stressnya sama aja
Raeun_park,2022-10-05 23:53:45+00:00,"@slctude hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
mscthi,2022-10-05 23:53:40+00:00,"— OUTFIT NGAMPUS ✨
     (part 2)

buat yang lagi bingung mau pake outfit apa ke kampus, yuk langsung kepoin thread di bawah! ⬇️

tags : fashion, ootd, kuliah offline, kemeja, kulot. https://t.co/u54Lw9NCps"
jimiberryss,2022-10-05 23:53:33+00:00,SEE YOU ON SATURDAY SAYANGKUUUU hr ini kuliah dulu 3 matkul😔 https://t.co/5hVFj2O80R
muamarmusa,2022-10-05 23:53:14+00:00,"@almostparadox Gak ada, soalnya dah gak ambil mata kuliah lagi, sisa tugas akhir"
Raeun_park,2022-10-05 23:53:05+00:00,"@arsbyxs__ hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:53:00+00:00,"@bajingloeh hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:52:49+00:00,"@chufpy hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
itskiahype,2022-10-05 23:52:49+00:00,"OOTD KULIAH
Outer/Kemeja: https://t.co/oFVZtivQHa
Daleman/Manset: https://t.co/xHA8nes0ba
Tote bag: https://t.co/fryT5fEPp6
Celana : https://t.co/XooooXB9Aj
Kacamata : https://t.co/ZrDMsWTMLy
Army Kyuhyun #EXO_GetTogether #TheLinkinJKT #28ReasonsWithSeulgi #ONEPIECE1062 Telkomsel https://t.co/jqg8KgmXck"
rapusodie,2022-10-05 23:52:47+00:00,"total selama kuliah setengah semester ini baru 3 kali libur (atau cuma nugas), termasuk banyak ga sih?"
univ_syiahkuala,2022-10-05 23:52:46+00:00,"#BeritaUSK
Usai sudah kegiatan Kuliah Kerja Nyata (KKN) Kebangsaan dan KKN Bersama ke-10 tahun 2022 yang diselenggarakan oleh Universitas Palangkaraya. Sebanyak 10 Mahasiswa dari Universitas Syiah Kuala (USK) kembali pulang ke Banda Aceh.
https://t.co/FiGwmyHa9n

#USK https://t.co/709nO9DhJY"
minumaquagalon,2022-10-05 23:52:46+00:00,"Oh kangen keseharian kuliah. bangun pagi, jogging, sarapan,  denger radio, leyeh2 nunggu kelas jam 2 siang"
anothermiw,2022-10-05 23:52:44+00:00,@gunsfav_ Dh mulai kuliah?
Raeun_park,2022-10-05 23:52:37+00:00,"@_apocalypsexxx hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:52:31+00:00,"@mikdamnn hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
markahzzz,2022-10-05 23:52:28+00:00,Gua kuliah jam 7.30 btw....
acIingy,2022-10-05 23:52:25+00:00,@ssefnum kuliah
ArdiAnugerahW4,2022-10-05 23:52:24+00:00,"@collegemenfess aku pernah ngiri sama temen yg punya pacar wkt kuliah, trs ada org blg gini 🥲 https://t.co/vw7ImLuE1d"
strawbeyicake,2022-10-05 23:52:22+00:00,"@puingasa kamu stress kenapa? gak udah udah kayaknya, semoga cepet selesai ya 😢 KABARKU BAIK, walau suka kecapean kuliah 😂"
Raeun_park,2022-10-05 23:52:09+00:00,"@weusethetics hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:52:02+00:00,"@lilivgjjj hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:51:57+00:00,"@shineshine13_ hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
noppwark,2022-10-05 23:51:54+00:00,@ndagels turunkan harga paket telkomsel PLSSS AKU BOKEK BGT SAMPE KULIAH GAK JAJAN
y0nvm,2022-10-05 23:51:53+00:00,"Gua udah lari dari bawah krn telat, sampe atas ternyata dosennya udh pergi dan cuma suruh mahasiswanya ikut kuliah umum, bangkeeee https://t.co/WuZxBqzruk"
Raeun_park,2022-10-05 23:51:50+00:00,"@shtvfp hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:51:40+00:00,"@ourceilo hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:51:31+00:00,"@heishaechan hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
eizjiro,2022-10-05 23:51:27+00:00,"[⚠️PENCURIAN LAPTOP DI KOS⚠️]
Lokasi: Kukel, sekitar pintu keluar vokasi.
Spesifikasi laptop: Macbook Pro Mid 2012 Silver

Hati-hati ya guys, laptop gue kemarin ilang di kamar kosan. Kejadiannya kira-kira jam 13.00 - 15.30. Kondisi kamar gue emang kosong karena ada kuliah."
Raeun_park,2022-10-05 23:51:25+00:00,"@aksenrtvs hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:51:21+00:00,"@nreshwara hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
jajanajayuu,2022-10-05 23:51:17+00:00,[cm] guys mnrt kalian in relationship di masa kuliah tu penting ga? https://t.co/A8UjXzS7wE
AbangZed75,2022-10-05 23:51:10+00:00,"Kenapa ga ada foto Wisuda ? Tak ada teman kuliah!?  kapan kuliah ? 
Rakyat tunggu kejujuran Jokowi siapa dia sebentarnya? 
#RIDamaiTanpaPolisi
#RIDamaiTanpaPolisi
Istana Angkat Bicara Soal Presiden Jokowi Digugat ke Pengadilan Atas Dugaan Ijazah Palsu https://t.co/aHrqD8I8VE"
Raeun_park,2022-10-05 23:51:09+00:00,"@ngenfott hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
madriddicko,2022-10-05 23:51:07+00:00,Udah kerja pengen kuliah lagi 🥲🥲
Raeun_park,2022-10-05 23:51:03+00:00,"@mkaelcsr hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:50:58+00:00,"@chayyiesnv hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
jajanajayuu,2022-10-05 23:50:55+00:00,"@collegemenfess aku pernah ngiri sama temen yg punya pacar wkt kuliah, trs ada org blg gini 🥲 https://t.co/vw7ImLuE1d"
NEOphyte088,2022-10-05 23:50:55+00:00,Sumpah sejak kuliah offline ngerasa bgt tidur itu mahal 😌😌😌
Raeun_park,2022-10-05 23:50:54+00:00,"@khfazr hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
megaagryn,2022-10-05 23:50:52+00:00,"pagi pagi dah ujan, keknya gausa kuliah aja ga si:("
nnewbula,2022-10-05 23:50:50+00:00,@pacarhourly Aku kuliah sih sama nyelesein project aja
Raeun_park,2022-10-05 23:50:49+00:00,"@urlove_mou hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:50:45+00:00,"@lijenechan hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:50:40+00:00,"@nellalaland_ hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
dararidaa,2022-10-05 23:50:39+00:00,"@collegemenfess Sama, kadang ngebayangin mungkin kuliah ga akan sesulit ini kalo bpk masih ada, tapi sekarang ya jalanin aja deh walau sambil nangis"
arshivv,2022-10-05 23:50:39+00:00,"@sbmptnfess ya gapapa atuhh, kuliah dimana dimana juga sama, gimana kitanya aja"
Raeun_park,2022-10-05 23:50:36+00:00,"@drckular hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
gua_bangkun,2022-10-05 23:50:36+00:00,"@txtdrberseragam mending minta dibiayain buat kuliah aja dek daripada akpol, skrng klo mau jd dokter harus kuliah dulu, mau jd insinyur jg kuliah dulu bahkan mau jd guru pun harus kuliah dulu, tp kalo cmn mau jd palicvi gaperlu kuliah, jgn mau dikumpulin sm SDM yg kerjaan nya ""dak dek dak dek"""
colqmbina,2022-10-05 23:50:27+00:00,@akaritaru @babufess Okeyy. Aku juga mau habis ini kuliah dulu 😄
